"Indicador ID","Indicador Nombr","Período","Ministerio ID","Ministerio Nombr","Línea ID","Línea Título","Valor","Unidad","Meta","Fuente","Responsable","No Responsable En","Observaciones","Estado","Publicado","Creado En","Actualizado En","Mes"
"ELDECR_5916","Elaboracion de cronograma de relevamiento","2024","JDG","Jefatura de Gabinete","CST_423718137","Compromiso sin 2025","2025","","","Excel Original","Sistema Automá","sistema@pio.gob.ar","","validado","No","2025-09-11T18:25:39.018Z","2025-09-11T18:25:39.018Z","enero"
"NÚDEEN_8943","Número de entidades deportivas relevadas","2024","JDG","Jefatura de Gabinete","CST_1749760873","Compromiso sin 625","625","","","Excel Original","Sistema Automá","sistema@pio.gob.ar","","validado","No","2025-09-11T18:25:39.018Z","2025-09-11T18:25:39.018Z","enero"
"PODEEN_2582","Porcentaje de entidades con protocolos de actuación existentes:","2024","JDG","Jefatura de Gabinete","CST_838779925","Compromiso sin 625","625","","","Excel Original","Sistema Automá","sistema@pio.gob.ar","","validado","No","2025-09-11T18:25:39.018Z","2025-09-11T18:25:39.018Z","enero"
"FEDEPU_1027","Fecha de publicacion del Informe","2024","JDG","Jefatura de Gabinete","CST_530734888","Compromiso sin 2025","2025","","","Excel Original","Sistema Automá","sistema@pio.gob.ar","","validado","No","2025-09-11T18:25:39.018Z","2025-09-11T18:25:39.018Z","enero"
"FEDEPU_3669","Fecha de Publicacion del protocolo","2024","JDG","Jefatura de Gabinete","CST_1424024291","Compromiso sin 2023","2023","","","Excel Original","Sistema Automá","sistema@pio.gob.ar","","validado","No","2025-09-11T18:25:39.018Z","2025-09-11T18:25:39.018Z","diciembre"
"CADEAC_1377","Cantidad de actividades de Difusión del protocolo","2024","JDG","Jefatura de Gabinete","CST_1976081936","Compromiso sin 14","14","","","Excel Original","Sistema Automá","sistema@pio.gob.ar","","validado","No","2025-09-11T18:25:39.018Z","2025-09-11T18:25:39.018Z","enero"
"CADECL_2356","Cantidad de clubes deportivos que reciben materiales informativos para colocar en su infraestructura","2024","JDG","Jefatura de Gabinete","CST_788152671","Compromiso sin 12","12","","","Excel Original","Sistema Automá","sistema@pio.gob.ar","","validado","No","2025-09-11T18:25:39.018Z","2025-09-11T18:25:39.018Z","diciembre"
"CADECL_1851","Cantidad de clubes deportivos que colocan carteleria de la linea 144 en su infgraestructura visible","2024","JDG","Jefatura de Gabinete","CST_633335530","Compromiso sin 50","50","","","Excel Original","Sistema Automá","sistema@pio.gob.ar","","validado","No","2025-09-11T18:25:39.018Z","2025-09-11T18:25:39.018Z","diciembre"
"ACDECO_5958","Acciones de concientizacion sobre el deporte inclusivo","2024","JDG","Jefatura de Gabinete","CST_742719561","Compromiso sin 1","1","","","Excel Original","Sistema Automá","sistema@pio.gob.ar","","validado","No","2025-09-11T18:25:39.018Z","2025-09-11T18:25:39.018Z","enero"
"ACDECO_5958","Acciones de concientizacion sobre el deporte inclusivo","2024","JDG","Jefatura de Gabinete","CST_742719561","Compromiso sin 3","3","","","Excel Original","Sistema Automá","sistema@pio.gob.ar","","validado","No","2025-09-11T18:25:39.018Z","2025-09-11T18:25:39.018Z","marzo"
"TIPRDE_1523","tiempo promedio de respuestaa incidentes de seguridad","2024","JDG","Jefatura de Gabinete","CST_489678970","Compromiso sin 374","374","","","Excel Original","Sistema Automá","sistema@pio.gob.ar","","validado","No","2025-09-11T18:25:39.018Z","2025-09-11T18:25:39.018Z","enero"
"APDEGC_6433","aplicaciones de GCBA analizadas","2024","JDG","Jefatura de Gabinete","CST_182377959","Compromiso sin 470","470","","","Excel Original","Sistema Automá","sistema@pio.gob.ar","","validado","No","2025-09-11T18:25:39.018Z","2025-09-11T18:25:39.018Z","enero"
"COTEEL_6525","Continuar teniendo el apoyo de BOTI como canal de acceso para la atención, derivación y contención  de mujeres en el GCBA. 
.","2024","JDG","Jefatura de Gabinete","CST_1272741310","Compromiso sin 479","479","","","Excel Original","Sistema Automá","sistema@pio.gob.ar","","validado","No","2025-09-11T18:25:39.018Z","2025-09-11T18:25:39.018Z","enero"
"PRMEDE_7513","Promover mecanismos de difusión de esta herramienta como vía de acceso a recursos del GCBA","2024","JDG","Jefatura de Gabinete","CST_2136889423","Compromiso sin 5","5","","","Excel Original","Sistema Automá","sistema@pio.gob.ar","","validado","No","2025-09-11T18:25:39.018Z","2025-09-11T18:25:39.018Z","enero"
"ED22_5225","Educación 22/8","2024","EDU","Educación","CST_1705539532","Compromiso sin 0","0","","","Excel Original","Sistema Automá","sistema@pio.gob.ar","","validado","No","2025-09-11T18:25:39.018Z","2025-09-11T18:25:39.018Z","enero"
"GAELCU_3615","Garantizar el cupo de mujeres en el curso Talento Tech -18 (40%): % de mujeres sobre el total de cursantes","2024","EDU","Educación","CST_782603166","Compromiso sin 0","0","","","Excel Original","Sistema Automá","sistema@pio.gob.ar","","validado","No","2025-09-11T18:25:39.018Z","2025-09-11T18:25:39.018Z","enero"
"ARCOLA_8999","Articular con la Dirección General de Abordaje de las Violencias por Motivos de Género dependiente de la Subsecretaría de Fortalecimiento Personal, Familiar y Comunitario, del Ministerio de Desarrollo Humano y Hábitat, la derivación de los casos que se presenten en los Centros Integrales de la Mujer que requieran terminalidad educativa.","2024","EDU","Educación","CST_1839473125","Compromiso sin 4","4","","","Excel Original","Sistema Automá","sistema@pio.gob.ar","","validado","No","2025-09-11T18:25:39.018Z","2025-09-11T18:25:39.018Z","abril"
"INLOCO_9611","Incorporar los contenidos vinculados a violencia digital, delitos contra la integridad sexual en el {ámbito digital y trata de personas en la currícula de ESI en todos de todos los niveles de educación secundaria superior (4to, 5to y 6to).","2024","EDU","Educación","CST_587495179","Compromiso sin 2","2","","","Excel Original","Sistema Automá","sistema@pio.gob.ar","","validado","No","2025-09-11T18:25:39.018Z","2025-09-11T18:25:39.018Z","enero"
"INLOCO_9611","Incorporar los contenidos vinculados a violencia digital, delitos contra la integridad sexual en el {ámbito digital y trata de personas en la currícula de ESI en todos de todos los niveles de educación secundaria superior (4to, 5to y 6to).","2024","EDU","Educación","CST_587495179","Compromiso sin 1","1","","","Excel Original","Sistema Automá","sistema@pio.gob.ar","","validado","No","2025-09-11T18:25:39.018Z","2025-09-11T18:25:39.018Z","febrero"
"GALACO_4965","Garantizar la continuidad en la asignación de vacantes de capacitación a mujeres para la profesionalización del cuidado en la infancia en niños de 43 días a 3 años de edad realizados a través de. la Agencia de Habilidades para el Futuro.","2024","EDU","Educación","CST_1179934849","Compromiso sin 0","0","","","Excel Original","Sistema Automá","sistema@pio.gob.ar","","validado","No","2025-09-11T18:25:39.018Z","2025-09-11T18:25:39.018Z","enero"
"CUCUDI_1323","Cursos cuatrimestral, dictado en 2 Centros de Formación Profesional.","2024","EDU","Educación","CST_980840393","Compromiso sin 2024","2024","","","Excel Original","Sistema Automá","sistema@pio.gob.ar","","validado","No","2025-09-11T18:25:39.018Z","2025-09-11T18:25:39.018Z","enero"
"INACPA_3659","Iniciar acciones para la implementación de la estrategia transversal “Niñas Primero” en los diferentes niveles de educación","2024","EDU","Educación","CST_142792185","Compromiso sin 300","300","","","Excel Original","Sistema Automá","sistema@pio.gob.ar","","validado","No","2025-09-11T18:25:39.019Z","2025-09-11T18:25:39.019Z","enero"
"POEL“C_5435","Potenciar el “Club de Robótica para chicas”.","2024","EDU","Educación","CST_1070601894","Compromiso sin 0","0","","","Excel Original","Sistema Automá","sistema@pio.gob.ar","","validado","No","2025-09-11T18:25:39.019Z","2025-09-11T18:25:39.019Z","enero"
"CADECL_2317","Cantidad de clubes creados","2024","EDU","Educación","CST_1403943934","Compromiso sin 14","14","","","Excel Original","Sistema Automá","sistema@pio.gob.ar","","validado","No","2025-09-11T18:25:39.019Z","2025-09-11T18:25:39.019Z","enero"
"IM“CAC_7296","Impulsar “Consultec”, actividad para promover vocaciones científicas y técnicas en niñas y jóvenes que impacta en las estudiantes de todas las escuelas técnicas de la ciudad.","2024","EDU","Educación","CST_451484051","Compromiso sin 250","250","","","Excel Original","Sistema Automá","sistema@pio.gob.ar","","validado","No","2025-09-11T18:25:39.019Z","2025-09-11T18:25:39.019Z","enero"
"ES“MAC_697","Establecer “Mentoreo”, actividad de acompañamiento en la orientación vocacional y empleabilidad por referentes de la industria IT para el 100% de las alumnas de los Programas Talento Tech +18 y Talento Tech -18, y aquellos que los sucedan a futuro.","2024","EDU","Educación","CST_1582567691","Compromiso sin 511","511","","","Excel Original","Sistema Automá","sistema@pio.gob.ar","","validado","No","2025-09-11T18:25:39.019Z","2025-09-11T18:25:39.019Z","enero"
"SE16_4708","Seguridad 16-5","2024","SEG","Seguridad","CST_1578086813","Compromiso sin 1","1","","","Excel Original","Sistema Automá","sistema@pio.gob.ar","","validado","No","2025-09-11T18:25:39.019Z","2025-09-11T18:25:39.019Z","enero"
"GALACO_9378","Garantizar la continuidad del convenio de las líneas 144 de Atención a la Víctima y 911 de atención ante emergencias.","2024","SEG","Seguridad","CST_2005915388","Compromiso sin 37","37","","","Excel Original","Sistema Automá","sistema@pio.gob.ar","","validado","No","2025-09-11T18:25:39.019Z","2025-09-11T18:25:39.019Z","enero"
"D)COCO_4141","D) Continuar con las líneas de atención telefónica 144 y 911.","2024","MDH","Desarrollo Humano y Habitat","CST_616058637","Compromiso sin 43","43","","","Excel Original","Sistema Automá","sistema@pio.gob.ar","","validado","No","2025-09-11T18:25:39.019Z","2025-09-11T18:25:39.019Z","enero"
"JEDEGA_16","Jefatura de gabinete","2024","OTR","compromisos ","CST_1000033042","Compromiso sin 20","20","","","Excel Original","Sistema Automá","sistema@pio.gob.ar","","validado","No","2025-09-11T18:25:39.019Z","2025-09-11T18:25:39.019Z","enero"
"ENRE_8933","Ente regulador","2024","OTR","compromisos ","CST_968113739","Compromiso sin 45454","45454","","","Excel Original","Sistema Automá","sistema@pio.gob.ar","","validado","No","2025-09-11T18:25:39.019Z","2025-09-11T18:25:39.019Z","enero"
"VI_4466","Vicejefatura","2024","OTR","compromisos ","CST_881792539","Compromiso sin 2024","2024","","","Excel Original","Sistema Automá","sistema@pio.gob.ar","","validado","No","2025-09-11T18:25:39.019Z","2025-09-11T18:25:39.019Z","noviembre"
"HAYFI_4027","Hacienda y Finanzas","2024","OTR","compromisos ","CST_388881910","Compromiso sin 2024","2024","","","Excel Original","Sistema Automá","sistema@pio.gob.ar","","validado","No","2025-09-11T18:25:39.019Z","2025-09-11T18:25:39.019Z","noviembre"
"DEHUY_9566","Desarrollo Humano y Habitat","2024","OTR","compromisos ","CST_395609203","Compromiso sin 45423","45423","","","Excel Original","Sistema Automá","sistema@pio.gob.ar","","validado","No","2025-09-11T18:25:39.019Z","2025-09-11T18:25:39.019Z","enero"
"ESPÚE_7137","Espacio Público e Higiene Urbana","2024","OTR","compromisos ","CST_419170266","Compromiso sin 45546","45546","","","Excel Original","Sistema Automá","sistema@pio.gob.ar","","validado","No","2025-09-11T18:25:39.019Z","2025-09-11T18:25:39.019Z","enero"
